CHEMBL98975.mol2,OC(CNCCOc1ccc(-n2ccnc2)cc1)COc1ccccc1
ZINC64408454.mol2,O=C(CCC1=NC(NS(=O)(=O)c2ccc(F)cc2)SC1)NCCC1=c2ccccc2=[NH+]C1
ZINC38915308.mol2,COc1cc(C2C(C#N)=C(N)OC3N=NC(CSc4ccc(C)cc4)=C32)ccc1OCC(N)=O
ZINC43553685.mol2,C=CCNc1nc2c(s1)CC1C(C)(CO)C(O)CCC1(C)C2CC(=O)NCc1ccc2c(c1)OCO2
ZINC22013976.mol2,CC[NH+](CC(=O)NNC(=O)Cc1nc(C)cs1)CC(=O)Nc1c(Cl)cccc1Cl
ZINC31036976.mol2,CSc1ccccc1NC(=O)C[NH+](C)C(C)C(=O)NCC(=O)Nc1ccc(F)c(F)c1F
ZINC23749009.mol2,C[NH+](CCCNC(=O)CN1C(=O)NC(C)(c2ccc(F)cc2)C1=O)Cc1ccccc1
ZINC14968603.mol2,CC(C)NC(=O)c1cn(CC2CCCCC2)cc(C(=O)NCC(C)(C)C[NH+](C)C)c1=O
ZINC36026951.mol2,CCCNC(=S)N1CCC2(CC1)[NH2+]C(Cc1ccccc1)C(=O)N2CCc1ccccn1
ZINC08908799.mol2,NC(=O)c1ccc(NC(=O)CSc2nnc(NC(=O)C3CC(=O)N(c4ccc(F)cc4)C3)s2)cc1
ZINC20504788.mol2,CC1(CO)C(O)CCC2(C)C(CC(=O)NCCN3CCOCC3)c3nc(Nc4ccccc4)sc3CC12
ZINC58763607.mol2,CCCCC(NC1=NS(=O)(=O)c2ccccc21)C(=O)NC1CCC[NH+](Cc2ccccc2)C1
ZINC20438155.mol2,O=C(CSc1n[nH]c(NN=Cc2ccc(O)cc2)n1)Nc1cccc(C(F)(F)F)c1
ZINC31055862.mol2,O=C(NCCCSCc1ccccc1)C1CCC[NH+](Cc2nc(-c3ccc(Cl)cc3Cl)no2)C1
ZINC49398925.mol2,Cc1ccc(C(N)=O)c(OC(=O)CCCNC(=O)C(C)(C)C)c1
ZINC12412549.mol2,CCOC(=O)C1=C(CNCCc2ccc(Cl)cc2)NC(=O)NC1c1ccc(Cl)cc1
ZINC15123137.mol2,Cc1ccc(NCC(=O)N(CC(C)C)c2c(N)n(Cc3ccccc3)c(=O)[nH]c2=O)cc1F
ZINC58755287.mol2,CC(SCCC(=O)Nc1ccc2c(c1)OCO2)c1nc(N)nc(Nc2ccccc2)n1
ZINC24901724.mol2,Cc1nc(SCC(=O)c2cc(C)n(CCc3ccccc3)c2C)sc1CC(N)=O
ZINC03007194.mol2,C=CCN(CC=C)S(=O)(=O)c1ccc(C(=O)Nc2sc3c(c2C(N)=O)CC[NH+](C(C)C)C3)cc1
ZINC49092064.mol2,CCC(C)C(C)NS(=O)(=O)c1ccc(C(=O)OC)cc1N
ZINC02355686.mol2,CCc1c(C)sc(NC(NC(C)=O)(C(F)(F)F)C(F)(F)F)c1C(=O)OC
ZINC63204718.mol2,Cc1cccc(S(=O)(=O)NC(CC2=c3ccccc3=[NH+]C2)C(=O)OCC(=O)c2ccc(F)c(F)c2)c1
ZINC13477796.mol2,CCCC(=O)NC(NC(=S)Nc1c(C)n(C)n(-c2ccccc2)c1=O)C(Cl)(Cl)Cl
ZINC09312839.mol2,CC[NH+](CC)CCCN1C(=O)C(=O)C(=C(O)c2ccc3c(c2)CC(C)O3)C1c1ccc(C(=O)OC)cc1
ZINC14647687.mol2,CCCOc1ccc(C(=O)NC(=S)Nc2ccccc2C(=O)NC(C)C)cc1Br
ZINC59325534.mol2,O=C(CNC(=O)Cc1csc(-c2ccc(C(F)(F)F)cc2)n1)NCC(F)(F)F
ZINC60157460.mol2,CN(c1ccc(CNC(=O)CCCCC2SCC3NC(=O)NC32)cc1)C1CCCCC1
ZINC60217374.mol2,Cc1ccc(SCCNC(=O)CSc2nnc(NCC(F)(F)F)s2)cc1
ZINC58843859.mol2,CCN(CC)S(=O)(=O)c1ccc(Cl)c(NC(=O)NCC(c2ccco2)[NH+](C)C)c1
ZINC27675137.mol2,CC(NC(=O)c1ccc(C(C)(C)C)cc1)C(=O)NCC(c1cccs1)N(C)C
ZINC33937289.mol2,CCCC(c1nnnn1CC1CCCO1)[NH+](Cc1cccs1)Cc1cc2c(C)ccc(C)c2[nH]c1=O
ZINC39290990.mol2,COc1ccc(C(=O)CCCCC[NH+]2CCC34C=CC(O)CC3Oc3c(OC)ccc(c34)C2)cc1OC
ZINC14887894.mol2,COc1ccc(CC2(CCC(=O)NCCc3ccccc3F)CCC(=O)N2)c(F)c1
ZINC66107385.mol2,CCCNC(=O)CNc1cccc(NC(=O)c2ccco2)c1
ZINC48842982.mol2,C[NH2+]CC1CCCN(C(=O)NCCCCCCC(=O)[O-])C1
ZINC58615018.mol2,COCCN(Cc1ccc(C(F)(F)F)cc1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
ZINC27575579.mol2,O=C(C[NH+](Cc1ccc(C(=O)NC2CC2)cc1)Cc1ccco1)Nc1ccc2c(c1)OCO2
ZINC20573674.mol2,CCOc1cc(C(=O)NCCC(=O)N2CCC3(CC2)NCCc2[nH]c[nH+]c23)cc(OCC)c1OCC
ZINC33174863.mol2,O=C(CSc1cc(NCc2ccc(Cl)cc2)ncn1)NCc1cccs1
ZINC04222550.mol2,C=CCNc1nc2c(s1)CC1C(C)(CO)C(O)CCC1(C)C2CC(=O)NCC[NH+]1CCOCC1
ZINC06532556.mol2,CCCCNC(=O)CSc1nnc(-c2ccc(F)cc2)n1N
ZINC06245350.mol2,Cc1ccc(NCc2nnc(SCC(=O)Nc3sc4c(c3C(N)=O)CCCC4)n2C)cc1
ZINC43429820.mol2,COC(=O)C(CC(C)C)NS(=O)(=O)c1ccc(C)cc1N
ZINC60341998.mol2,CCCC(C#N)NC(=O)CCCNC(=O)NC1CCCCC1
ZINC40356088.mol2,COc1cc(OC)cc(C(=O)Nc2nc(C(=O)NCCC[NH+]3CCCCC3C)cs2)c1
ZINC18183318.mol2,O=C(NCC1CCCC(CNC(=O)NCC2COc3ccccc3O2)C1)NCC1COc2ccccc2O1
ZINC02654706.mol2,Cc1ccc(C)c(OCc2n[nH]c(SCC(=O)Nc3sc4c(c3C(N)=O)CCC4)n2)c1
ZINC36500893.mol2,CCCCNC(=O)C(c1ccc(Cl)cc1)N(Cc1ccco1)C(=O)c1cccc(O)c1O
ZINC50755095.mol2,CCCNC(=O)CNC(=O)c1nc(NCCC)ccc1Cl
ZINC27575991.mol2,O=C(C[NH+](Cc1ccc(C(=O)NC2CC2)cc1)Cc1ccco1)NC(=O)NCc1ccco1
ZINC16496199.mol2,O=C(CN(Cc1ccccc1)c1nc(Cc2ccc(F)cc2)ns1)NC1CC[NH+](Cc2ccccc2)CC1
ZINC35156798.mol2,CCCC(Sc1nc(C)c(Cc2ccc(F)cc2)c(=O)n1C)C(=O)NC1CC[NH+](Cc2ccccc2)CC1
ZINC09473181.mol2,CCC1CCCC[NH+]1CCCn1c(SCC(=O)NCc2ccccc2Cl)nc2ccccc2c1=O
ZINC17308030.mol2,CCN(C(=O)C[NH+](Cc1cccs1)CC1CCCO1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
ZINC66092386.mol2,CCCNC(=O)c1cccc(NC(=O)CNc2ccc(C(=O)N(C)c3ccccc3)cc2)c1
ZINC36697612.mol2,Cc1ccc(C2(C)NC(=O)N(CC(=O)NCCC[NH+](C)Cc3ccccc3)C2=O)cc1
ZINC67087681.mol2,CC(C)(C)OC(=O)NCCNC(=O)NCCSC(C)(C)C
ZINC29657936.mol2,O=C(NCCSc1ccc(Cl)cc1)NNC(=O)c1ccc(COc2ccccc2)o1
ZINC33869325.mol2,CCCc1c(-c2ccc(C(F)(F)F)cc2)c(C(N)=O)c(C)n1CCCN1CCCC1=O
ZINC22089612.mol2,N#Cc1c(CCCNc2nc(CN3CCOCC3)nc3scc(-c4cccs4)c23)n[nH]c1N
ZINC13064702.mol2,CCC(c1nnnn1Cc1ccc(F)cc1)[NH+](CCc1ccccc1)Cc1cc2cc(C)c(C)cc2[nH]c1=O
ZINC30977051.mol2,CC(C)(C)c1ccc(-c2noc(C[NH+]3CCC(C(=O)NCCSCc4ccc(Cl)cc4)CC3)n2)cc1
ZINC35745506.mol2,Cc1sc2nc(C[NH+](Cc3ccco3)CC(O)COC(C)(C)C)[nH]c(=O)c2c1C
ZINC14040382.mol2,CCCCCC(=O)NC(=S)NNC(=O)c1ccc(OC)c(I)c1
ZINC45728003.mol2,CCCCn1c(N)c(N(C)CC(=O)NC(C)c2ccc(Cl)cc2Cl)c(=O)[nH]c1=O
ZINC67610890.mol2,O=C(NCCCNc1ccccc1)NCc1cn2ccsc2n1
ZINC60218706.mol2,CC(C)(C)OC(=O)NCCNC(=O)C1CCC[NH+](CC(=O)NCc2ccc3c(c2)OCO3)C1
ZINC40177835.mol2,CC[NH+](CC)CCCNc1oc(-c2ccc(Cl)cc2)nc1S(=O)(=O)c1ccc2c(c1)OCCO2
ZINC65453395.mol2,CCCC(C)C1NN=C(NC(=O)CCc2[nH]nc(C)c2C)S1
ZINC43554238.mol2,C=CCOC(=O)Nc1nc2c(s1)CC1C(C)(CO)C(O)CCC1(C)C2CC(=O)NC(C)C
ZINC08996596.mol2,CCOc1cc(C(=O)NC(C)C(=O)N2CCC3(CC2)[NH2+]CCc2nc[nH]c23)cc(OCC)c1OCC
ZINC39604459.mol2,CCOCCCNC(=O)C1CN(C(=O)c2cccnc2Oc2ccccc2)CC12CC[NH2+]CC2
ZINC59880994.mol2,CC(=NNc1nc(SC(C)C(=O)NNC(=O)C(C)C)n[nH]1)c1ccc(Br)cc1
ZINC09715959.mol2,CCCCn1c(SCC(=O)Nc2ccccc2-c2ccccc2)nc2cc(S(N)(=O)=O)ccc21
ZINC34906345.mol2,CCCCNC(=O)NC1CCCCC1NC(=O)c1csc(COc2ccccc2F)n1
ZINC58008524.mol2,CC(C)C(NC(=O)CCC(=O)NCC(=O)c1ccccc1Cl)c1cccs1
ZINC12522128.mol2,COc1ccc(Nc2nnc(SC(C)C(=O)Nc3sccc3C(N)=O)s2)cc1
ZINC12531521.mol2,CC1(O)CCC2(CCC(=O)NCCN3CCOCC3)C(NC(=O)Cc3ccccc3)CC(C)(C)C2C1
ZINC36011831.mol2,[NH2+]=c1n(CCCOc2ccc(Br)cc2)c2ccccc2n1CCCOc1ccccc1Cl
ZINC64891187.mol2,CCCn1c(=O)[nH]c2cc(C3NOC(C(NS(=O)(=O)c4ccccc4)C(C)C)N3)ccc21
ZINC29553696.mol2,COc1cc(OC)cc(C(=O)NC(C(=O)NCc2cc[nH+]c(N3CCCC3)c2)C(C)C)c1
ZINC35966841.mol2,CC(C)CC(C(=O)NCC[NH+](C)C)N1CC2=C(C1=O)C(c1ccccc1C(F)(F)F)NC(=O)N2C
ZINC32972164.mol2,O=C(CSc1ccccc1C(=O)NCC(c1ccco1)[NH+]1CCCC1)Nc1ccc(F)cc1
ZINC59879250.mol2,CC(Sc1n[nH]c(NN=Cc2cccc(Cl)c2Cl)n1)C(=O)NNC(=O)C1CCC1
ZINC04102495.mol2,CC[NH+](CC)CCNc1nc2c(c(=O)[nH]c(=O)n2C)n1CC(O)COc1ccc(Cl)cc1Cl
ZINC08857832.mol2,CC[NH+](CC)CCN1C(=O)C(O)=C(C(=O)c2ccc(Br)cc2)C1c1ccc(OC(C)C)cc1
ZINC15617541.mol2,CSCCC(NS(=O)(=O)c1ccccc1F)C(=O)NC1CCCCCC1
ZINC15615524.mol2,CSCCC(NS(=O)(=O)c1ccccc1F)C(=O)Nc1ccc(C)c(F)c1
ZINC36206413.mol2,CCOCC(O)C[NH+](Cc1nc2scc(-c3cccc(Cl)c3)c2c(=O)[nH]1)C(C)C
ZINC59819426.mol2,OCCSc1n[nH]c(NN=Cc2ccccc2OCc2cccc(Br)c2)n1
ZINC46735468.mol2,C[NH+](Cc1ccccc1NC(=O)c1ccc(CCNS(C)(=O)=O)s1)C1CCCCC1
ZINC12714902.mol2,Cc1ccc(C)c(N(C(=O)c2snc(C(N)=O)c2N)C(C(=O)NCC2CCCO2)c2ccc(C)o2)c1
ZINC08299035.mol2,CC(=O)NCCNC(=O)C1C[NH+]2CCC1CC2Cn1cc(CSc2ccccc2)nn1
ZINC12889279.mol2,CC(C)(CO)NC(=O)CCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C
ZINC36184347.mol2,NC(=O)c1c(NC(=O)COC(=O)CNC(=O)c2ccc(Cl)cc2Cl)sc2c1CCCC2
ZINC46773421.mol2,C#CCNS(=O)(=O)c1ccc(C(=O)NNC(=S)Nc2ccc(Cl)cc2Cl)cc1
ZINC18134935.mol2,CCCC(NC(=O)CSCc1nc2sc3c(c2c(=O)[nH]1)CCC3)c1ccccc1
ZINC09889074.mol2,Cc1ccc(SCCNC(=O)CCn2c(-c3ccc(C)cc3)n[nH]c2=S)cc1
ZINC40759607.mol2,CCN(CC)S(=O)(=O)c1ccc(Nc2ncnc(Nc3cccnc3Cl)c2N)cc1
ZINC05349666.mol2,CCOc1ccccc1NC(=O)C(=O)NCC(c1ccc(N(C)C)cc1)[NH+]1CCCC1
ZINC31045969.mol2,CCOc1ccc(C(C)NC(=O)C2CCC[NH+](Cc3nc(-c4ccc(Cl)cc4)no3)C2)cc1OCC
ZINC20645405.mol2,CC[NH+](CC)CCn1c([S-])nc2cc(C(=O)NCC3CCC[NH+]3CC)ccc2c1=O
ZINC24985565.mol2,CCOc1cc(C(=O)NC(C)C(=O)N2CCC3(CC2)NCCc2[nH]c[nH+]c23)cc(OCC)c1OCC
ZINC56454935.mol2,CC(C)CCCC(C)NC(=O)CNC(=O)NCc1ccco1
ZINC13062897.mol2,CCCCN(C(=O)C[NH+]1CCCC1c1ccc2c(c1)OCCO2)c1c(N)n(CC(C)C)c(=O)[nH]c1=O
ZINC09969860.mol2,CC(C)C(NC(=O)c1ccccc1NC(=O)c1ccccc1)C(=O)NNC(=O)c1cccs1
ZINC15484848.mol2,CCN(CC)C(=O)C[NH+](C)CC(=O)NCC(=O)Nc1ccc(Br)cc1C
ZINC06546694.mol2,CCOC(=O)CNC(=O)C(c1ccc(F)cc1)N(C(=O)c1snc(C(N)=O)c1N)c1cccc(F)c1
ZINC06198475.mol2,COc1ccc2cc(CN(CCC[NH+](C)C)C(=S)NC3CCCCC3)c(=O)[nH]c2c1
ZINC13500547.mol2,Cc1ccc2[nH]c(=O)c(C[NH+](CCCO)C(c3nnnn3C3CCCCC3)C(C)C)cc2c1
ZINC63383536.mol2,CC(C)OCCCNC(=O)C(NC(=O)C1CC2=c3ccccc3=[NH+]C2C2c3ccccc3C(=O)N12)C(C)C
ZINC33604502.mol2,CC(c1nc2cc(Cl)ccc2c(=O)n1C)N(CCCCCC[NH3+])C(=O)Nc1ccc([N+](=O)[O-])cc1
ZINC64074757.mol2,CC(C)OCCNC(=O)C1Sc2ncnc(NCCC3=c4ccccc4=[NH+]C3)c2C1C
ZINC30941933.mol2,COCCCNC(=O)c1ccccc1NC(=O)C1CCC[NH+](Cc2c(F)cccc2Cl)C1
ZINC02162811.mol2,CC(C)(C)NC(=O)CSc1nc2ccc(NC(=O)CSc3nc4ccc(N)cc4s3)cc2s1
ZINC06198576.mol2,C[NH+](C)CCN(Cc1cc2cc3c(cc2[nH]c1=O)OCO3)C(=S)NCC1CCCO1
ZINC34966506.mol2,CCNc1ccc(S(=O)(=O)C(F)(F)F)cc1NC(=S)NC(NC(C)=O)C(Cl)(Cl)Cl
ZINC13064526.mol2,CCC(c1nnnn1Cc1ccco1)[NH+](Cc1cc2cc(OC)c(OC)cc2[nH]c1=O)C1CCCCC1
ZINC10063554.mol2,CC(C)CCNC(=O)Cn1c(CO)cnc1SCc1ccc(Br)cc1
ZINC20733464.mol2,Cc1cc(C)c(NC(=S)N(CCC[NH+]2CCCC2)Cc2cccn2Cc2ccc(Cl)cc2)c(C)c1
ZINC04222497.mol2,COCCNC(=O)CC1c2nc(NC(=O)c3cccs3)sc2CC2C(C)(CO)C(O)CCC12C
ZINC64179072.mol2,COc1cc(CCC2CCN(C(=O)C(CC3=c4ccccc4=[NH+]C3)NC(N)=O)CC2)cc(OC)c1
ZINC45318274.mol2,Nc1nonc1-c1nc2c(-c3ccccc3)ncc(OCCC[NH3+])c2n1CCc1ccccc1
ZINC40720484.mol2,CCOc1cc(C[NH2+]CC2CCCN2CC)cc(Br)c1OCc1ccc(Cl)c(Cl)c1
ZINC22907862.mol2,COCCNC(=O)NC(=O)CNc1ccccc1C(C)(C)C
ZINC16811033.mol2,NC(=O)CCN(C(=O)COC(=O)c1cc(Br)ccc1N)c1ccc(F)cc1
ZINC59014441.mol2,CSc1ccccc1NC(=O)CSc1n[nH]c(NN=Cc2c[nH]c3ccccc23)n1
ZINC00878956.mol2,Cc1cc2cc(CN(CC3CCCO3)C(=S)NCC(C)C)c(=O)[nH]c2cc1C
ZINC00894882.mol2,CCc1ccccc1NC(=S)N(Cc1cc2cc(C)ccc2[nH]c1=O)CC1CCCO1
ZINC67300433.mol2,CC[NH+](CC)c1ccc(NC(=O)Cn2c(-c3ccccc3)nc(C)c(CCO)c2=O)c(C)c1
ZINC63217203.mol2,CCOC(=O)C1=C(COC(=O)CC2=c3ccccc3=[NH+]C2)NC(=O)NC1c1ccccc1
ZINC59037211.mol2,O=C(NCc1ccnc(OCC(F)(F)F)c1)NCC(c1ccco1)[NH+]1CCCCC1
ZINC20905243.mol2,CC(=O)Nc1cccc(NC(=O)CSc2n[nH]c(NN=Cc3cccc4ccccc34)n2)c1
ZINC35048274.mol2,OCC[NH+](CC(O)Cn1ccc2ccccc21)CC(O)Cn1c2ccccc2c2ccccc21
ZINC44873588.mol2,O=C(CN(c1ccc([N+](=O)[O-])cc1)S(=O)(=O)c1ccccc1)NCc1ccc(C[NH+]2CCCCC2)cc1
ZINC39404355.mol2,C=CCSc1nnc(NC(=O)CSC2N=[NH+]C(NN=Cc3ccc(O)cc3)=N2)s1
ZINC23156050.mol2,CSCCC(NC(=O)c1ccco1)C(=O)NC(C)c1ccc(Cl)cc1Cl
ZINC46633354.mol2,C#CCNS(=O)(=O)c1cccc(C(=O)Nc2ccccc2SCC(F)(F)F)c1
ZINC26677873.mol2,CCCNC(=S)NNC(=O)c1cc(OC)c(C)c(OC)c1
ZINC59644644.mol2,CCOc1cc(C=NNC(=O)Cc2csc(N)n2)cc(Cl)c1OCc1ccc(Cl)cc1
ZINC09244246.mol2,C=CCOc1cccc(C2C(=C(O)c3ccc4c(c3)OCCO4)C(=O)C(=O)N2CCC[NH+](CC)CC)c1
ZINC60238902.mol2,Cc1ccc(C(CNC(=O)CSC(C)C(=O)Nc2cc(C)on2)[NH+]2CCCC2)cc1
ZINC64864302.mol2,CCCC(=O)NCC(=O)Nc1ccccc1C(=O)NC(C)(C)C
ZINC13977089.mol2,CC(C)(C)c1ccc(C(=O)NC(=S)NNC(=O)c2ccc(NC(=O)C3CC3)cc2)cc1Br
ZINC15000093.mol2,C[NH+](C)CC(C)(C)CNC(=O)c1cn(C2CC2)cc(C(=O)NCC2CCCCC2)c1=O
ZINC39549781.mol2,CCCc1ccc(C2=NN(c3ccccc3)C(NC(=O)CSc3n[nH]c(N)n3)C2)cc1
ZINC08904947.mol2,Cc1ccccc1N1CC(C(=O)Nc2nnc(SCC(=O)Nc3ccc(C(N)=O)cc3)s2)CC1=O
ZINC21320673.mol2,COc1ccc(Br)cc1C=NNc1nnc(SCC(=O)Nc2c(F)cccc2F)n1N
ZINC40986383.mol2,CC[NH+](CC)C(CNC(=O)c1cnc(S(=O)(=O)Cc2ccc(F)cc2)nc1Cl)c1ccccc1
ZINC21874382.mol2,CSCCC(NS(=O)(=O)C=Cc1ccccc1)C(=O)Nc1ccc(C)c(F)c1
ZINC66572640.mol2,CCCc1c(C(=O)NNC(=O)CCC(C)C)[nH]c(C)c1C(C)=O
ZINC03373815.mol2,CCn1c(=O)c(C(=O)C[NH+](C)CC(=O)Nc2cccc(F)c2)c(N)n(Cc2ccccc2)c1=O
ZINC25384059.mol2,Cn1ccnc1SCC(=O)Nc1ccc(C(=O)NCC(c2cccs2)[NH+]2CCCC2)cc1
ZINC10211759.mol2,Cc1cc(C)c(S(=O)(=O)Nc2ccccc2C(=O)OC(C(=O)NC(N)=O)C(C)C)c(C)c1
ZINC39693558.mol2,COc1ccc(CCC(=O)N2CC(C(=O)NCCNC(=O)OC(C)(C)C)C3(CC[NH2+]CC3)C2)cc1
ZINC35592227.mol2,CC(=O)Nc1ccc(S(=O)(=O)Oc2ccc(Cl)cc2CN(CC[NH+](C)C)C(=O)C2CCC2)cc1
ZINC32754410.mol2,COCCN(C(=O)C[NH+]1CCCC1c1ccc(C)cc1)c1c(N)n(CC(C)C)c(=O)[nH]c1=O
ZINC64044149.mol2,CCc1[nH]c(CN2CCC3=C(C(=O)OC)C(S(=O)(=O)NCC4CCCCC4)SC3C2)c(C)[nH+]1
ZINC24144115.mol2,CCC(c1nnc(SCC(=O)N2CCCC(C(N)=O)C2)n1Cc1ccccc1)[NH+](C)C
ZINC35617271.mol2,CCNC(=O)N(CCOC)Cc1cc(NC(=O)NC(C)(C)C)ccc1N(C)C1CC[NH+](C)CC1
ZINC45699056.mol2,Cc1nc(SCc2csc(COc3ccc(F)cc3)n2)sc1CC(N)=O
ZINC09056123.mol2,CCCn1c(N)c(C(=O)CSc2nc(-c3cccs3)c(-c3cccs3)[nH]2)c(=O)[nH]c1=O
ZINC36039394.mol2,COc1ccc(-n2cc(-c3ccc(Cl)cc3)nc2N=C(O)CNCC[NH+](C)C)cc1
ZINC12476919.mol2,Cc1ccc(C(C(=O)NC(C)(C)C)N(Cc2ccccc2Cl)C(=O)c2snc(C(N)=O)c2N)cc1
ZINC46811682.mol2,COCCOC(=O)c1c(C)[nH]c(C(=O)Nc2nc(C[NH+]3CC(C)CC(C)C3)cs2)c1C
ZINC66700186.mol2,CCOCC(=O)NNC(=O)NCC(c1ccccc1)C(C)C
ZINC21143473.mol2,Cc1ccc(CSCC(=O)Nc2ccccc2C(=O)NCC2CCCO2)cc1
ZINC24986830.mol2,CSCCC(NC(=O)CCCc1ccccc1)C(=O)N1CCC2(CC1)NCCc1[nH]c[nH+]c12
ZINC12217405.mol2,O=C(CCC1(Cc2cccs2)CCC(=O)N1)NCc1ccccc1OC(F)(F)F
ZINC40372266.mol2,CC[NH+](CC)CCCC(C)NC(=O)CC(c1ccsc1)c1cn(Cc2ccc(F)cc2)c2ccccc12
ZINC11933384.mol2,COc1cc(CNC(=O)CC2C(=O)NCC[NH+]2Cc2ccc(OC)cc2F)cc(OC)c1
ZINC11806691.mol2,CCCCc1ccc2nc(NC(=O)c3cc(Cl)c(OCC(N)=O)c(OC)c3)sc2c1
ZINC20836211.mol2,CCOc1cc(C=NNc2nc(SCC(=O)NC3CC(C)(C)[NH2+]C(C)(C)C3)n[nH]2)ccc1O
ZINC34969244.mol2,CCC(C)C(NC(=O)NC(C)(C)C)C(=O)NCc1ccco1
ZINC64023867.mol2,COCCCNC(=O)C1Sc2ncnc(NCCC3=c4ccccc4=[NH+]C3)c2C1C
ZINC13499072.mol2,CCC(C)(C)n1nnnc1C(C(C)C)[NH+](CCO)Cc1cc2c(C)cc(C)cc2[nH]c1=O
ZINC24898686.mol2,NC(=O)CSc1nnc(SCC(=O)Nc2ccccc2Sc2ccccc2)s1
ZINC40986975.mol2,CCCCSc1nc2n(n1)C(c1cccc(OCc3ccccc3C)c1)C(C(N)=O)=C(C)N2
ZINC25383460.mol2,C=CCNS(=O)(=O)c1cccc(C(=O)NCC(c2cccs2)[NH+]2CCCC2)c1
ZINC01224972.mol2,CCc1ccccc1NC(=S)N(Cc1cc2ccc(C)cc2[nH]c1=O)CC1CCCO1
ZINC28714896.mol2,CC(Sc1nnc(-c2ccc(OC(F)F)cc2)n1N)C(=O)NCC(C)c1ccccc1
ZINC20644853.mol2,CCC(Sc1nc2sc(C(=O)Nc3ccc(C)cc3C)c(C)c2c(=O)n1N)C(=O)NCC1CCCO1
ZINC33874460.mol2,CC(C)(C)N1C(=O)C2C(c3ccc(C=Cc4ccccc4)cc3)[NH2+]C(CCCNC(N)=O)(C(=O)[O-])C2C1=O
ZINC12874133.mol2,CSCCC([NH3+])C(=O)N1CCC(C(=O)NC(C)C(=O)Nc2ccc(C(C)C)cc2)CC1
ZINC20973344.mol2,N#Cc1c(NC(=O)COC(=O)CC(NC(N)=O)c2ccc(Cl)cc2)sc2c1CCCCC2
ZINC11839387.mol2,Cc1nnc(SCCNC(=O)CC2C(=O)NCC[NH+]2CCc2ccccc2)s1
ZINC59576790.mol2,O=C(CCCNC(=O)C1CC1)Nc1cc(CC2CCCCC2)n[nH]1
ZINC67063118.mol2,CC(C)CCC(=O)NNC(=O)NCCOC1CCCCC1C
ZINC09528486.mol2,CC(C)C(NS(=O)(=O)c1cccs1)C(=O)NCC1CC[NH+](Cc2ccccc2F)CC1
ZINC06785304.mol2,CC(C)OCCCNC(=O)c1ccc2c(c1)NC(=O)C(C(C)C)N2
ZINC40333291.mol2,CC(C)CCN(CCC(C)C)S(=O)(=O)c1c[nH]nc1N
ZINC39534274.mol2,CONCC(c1ccc(S(=O)(=O)Oc2ccccc2)cc1)[NH+]1CCNC(SC)C1
ZINC25574404.mol2,CCCC[NH+](C)CC1C(=O)N(C(=O)c2sc(NNC(C)=O)nc2C)N=C1c1ccccc1O
ZINC39656679.mol2,CCSCCNC(=O)C1CN(C(=O)C(Oc2ccccc2)C(C)C)CC12CC[NH2+]CC2
ZINC00931837.mol2,Cc1ccc2cc(CN(Cc3ccccc3)C(=S)NCC3CCCO3)c(=O)[nH]c2c1C
ZINC22020111.mol2,CC(Sc1nnc(NCCc2cccs2)s1)C(=O)NC(=O)NCc1ccccc1
ZINC12472340.mol2,Cc1cccc(N(C(=O)c2snc(C(=O)NC3CCCC3)c2N)C(C(=O)NC(C)(C)C)c2ccco2)c1
ZINC40985917.mol2,CC[NH+](CC)C(CNC(=O)c1cnc(SCc2ccc(F)cc2)nc1Cl)c1ccc(C(C)(C)C)cc1
